territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Тегульдетская,636,73,38,38,0,52.00,25,65.79,13,34.21
Тегульдетская,637,402,194,194,7,48.00,149,76.8,38,19.59
"Томск, Кировская",41,284,137,137,0,48.00,70,51.09,67,48.91
"Томск, Кировская",42,1307,630,630,5,48.00,345,54.76,280,44.44
"Томск, Кировская",43,1537,767,767,3,50.00,459,59.84,305,39.77
"Томск, Кировская",44,282,235,235,3,83.00,95,40.43,137,58.3
"Томск, Кировская",45,1494,633,633,5,42.00,359,56.71,269,42.5
"Томск, Кировская",46,2159,1001,1001,14,46.00,627,62.64,360,35.96
"Томск, Кировская",47,1227,562,562,3,46.00,335,59.61,224,39.86
"Томск, Кировская",48,2047,737,737,3,36.00,432,58.62,302,40.98
"Томск, Кировская",49,1596,605,605,3,38.00,344,56.86,258,42.64
"Томск, Кировская",50,1270,563,563,2,44.00,340,60.39,221,39.25
"Томск, Кировская",51,1951,794,794,8,41.00,470,59.19,316,39.8
"Томск, Кировская",52,1410,561,561,15,40.00,374,66.67,172,30.66
"Томск, Кировская",53,1327,494,494,3,37.00,262,53.04,229,46.36
"Томск, Кировская",54,653,332,332,2,51.00,203,61.14,127,38.25
"Томск, Кировская",55,1457,520,520,3,36.00,363,69.81,154,29.62
"Томск, Кировская",56,1441,606,606,6,42.00,386,63.7,214,35.31
"Томск, Кировская",57,1050,477,477,2,45.00,278,58.28,197,41.3
"Томск, Кировская",58,752,478,478,8,64.00,268,56.07,202,42.26
"Томск, Кировская",59,1043,585,585,6,56.00,304,51.97,275,47.01
"Томск, Кировская",60,753,263,263,4,35.00,169,64.26,90,34.22
"Томск, Кировская",61,1294,580,580,8,45.00,369,63.62,203,35
"Томск, Кировская",62,1682,762,762,5,45.00,450,59.06,307,40.29
"Томск, Кировская",63,640,232,232,4,36.00,176,75.86,52,22.41
"Томск, Кировская",64,364,150,150,3,41.00,97,64.67,50,33.33
"Томск, Кировская",65,1633,631,631,1,39.00,416,65.93,214,33.91
"Томск, Кировская",66,1410,458,457,4,32.00,304,66.52,149,32.6
"Томск, Кировская",67,2301,834,834,12,36.00,542,64.99,280,33.57
"Томск, Кировская",68,319,129,129,1,40.00,75,58.14,53,41.09
"Томск, Кировская",69,2378,1103,1103,19,46.00,655,59.38,429,38.89
"Томск, Кировская",70,2379,783,783,8,33.00,483,61.69,292,37.29
"Томск, Кировская",71,2305,744,744,8,32.00,448,60.22,288,38.71
"Томск, Кировская",72,2438,748,748,10,31.00,445,59.49,293,39.17
"Томск, Кировская",73,239,182,182,3,76.00,118,64.84,61,33.52
"Томск, Кировская",74,2135,795,795,4,37.00,503,63.27,288,36.23
"Томск, Кировская",75,2044,947,943,6,46.00,579,61.4,358,37.96
"Томск, Кировская",76,1063,448,448,5,42.00,261,58.26,182,40.63
"Томск, Кировская",77,2145,1047,1047,9,49.00,663,63.32,375,35.82
"Томск, Кировская",78,1921,806,806,11,42.00,495,61.41,300,37.22
"Томск, Кировская",79,1419,557,557,5,39.00,339,60.86,213,38.24
"Томск, Кировская",80,1453,598,598,6,41.00,376,62.88,216,36.12
"Томск, Кировская",81,661,268,268,1,41.00,186,69.4,81,30.22
"Томск, Кировская",82,1286,653,653,2,51.00,389,59.57,262,40.12
"Томск, Кировская",83,1887,786,785,5,42.00,483,61.53,297,37.83
"Томск, Кировская",84,1029,414,414,2,40.00,311,75.12,101,24.4
"Томск, Кировская",85,1920,1172,1171,9,61.00,670,57.22,492,42.02
"Томск, Кировская",86,1548,730,730,8,47.00,445,60.96,277,37.95
"Томск, Кировская",87,1219,457,457,2,37.00,299,65.43,156,34.14
"Томск, Кировская",88,863,456,456,5,53.00,256,56.14,195,42.76
"Томск, Кировская",89,1409,674,674,7,48.00,400,59.35,267,39.61
