territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Цунтинская,1792,42,32,32,0,76.190476190476,32,100,0,0
Цунтинская,1793,91,43,43,0,47.252747252747,43,100,0,0
Цунтинская,1794,309,197,197,0,63.754045307443,175,88.83,22,11.17
Цунтинская,1795,308,135,135,0,43.831168831169,120,88.89,15,11.11
Цунтинская,1796,400,244,244,0,61.000000000000,200,81.97,44,18.03
Цунтинская,1797,113,40,40,0,35.398230088496,20,50,20,50
Цунтинская,1798,290,109,109,0,37.586206896552,100,91.74,9,8.26
Цунтинская,1799,107,78,78,0,72.897196261682,66,84.62,12,15.38
Чародинская,1812,187,172,172,0,91.978609625668,146,84.88,26,15.12
Чародинская,1813,95,87,87,0,91.578947368421,82,94.25,5,5.75
Чародинская,1814,154,144,144,0,93.506493506493,142,98.61,2,1.39
Чародинская,1815,192,172,172,0,89.583333333333,142,82.56,30,17.44
Чародинская,1816,77,70,70,0,90.909090909091,67,95.71,3,4.29
Чародинская,1817,207,189,189,0,91.304347826087,186,98.41,3,1.59
Чародинская,1818,365,324,324,0,88.767123287671,275,84.88,49,15.12
Чародинская,1819,134,123,123,0,91.791044776119,113,91.87,10,8.13
Чародинская,1820,150,145,145,0,96.666666666667,140,96.55,5,3.45
Чародинская,1821,62,56,56,0,90.322580645161,50,89.29,6,10.71
Чародинская,1822,107,96,96,0,89.719626168224,82,85.42,14,14.58
Чародинская,1823,133,128,128,0,96.240601503759,127,99.22,1,.78
Чародинская,1824,96,86,86,0,89.583333333333,80,93.02,6,6.98
Чародинская,1825,66,60,60,0,90.909090909091,51,85,9,15
Чародинская,1826,140,127,127,0,90.714285714286,109,85.83,18,14.17
Чародинская,1827,106,95,95,0,89.622641509434,90,94.74,5,5.26
Чародинская,1828,87,75,75,0,86.206896551724,71,94.67,4,5.33
Чародинская,1829,282,253,253,0,89.716312056738,221,87.35,32,12.65
Чародинская,1830,538,451,451,0,83.828996282528,422,93.57,29,6.43
Чародинская,1831,133,128,128,0,96.240601503759,123,96.09,5,3.91
Чародинская,1832,215,191,191,0,88.837209302326,179,93.72,12,6.28
Чародинская,1833,66,57,57,0,86.363636363636,51,89.47,6,10.53
Чародинская,1834,77,69,69,0,89.610389610390,60,86.96,9,13.04
Чародинская,1835,105,98,98,0,93.333333333333,93,94.9,5,5.1
Чародинская,1836,633,589,589,0,93.048973143760,574,97.45,15,2.55
Чародинская,1837,192,186,186,10,96.875000000000,171,91.94,5,2.69
Чародинская,1838,113,101,101,0,89.380530973451,90,89.11,11,10.89
