territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Колпашевская,346,227,189,189,1,83.259911894273,144,76.19,44,23.28
Колпашевская,347,132,76,76,0,57.575757575758,49,64.47,27,35.53
Колпашевская,348,600,380,380,4,63.333333333333,284,74.74,92,24.21
Колпашевская,349,411,344,344,6,83.698296836983,199,57.85,139,40.41
Колпашевская,350,112,67,67,1,59.821428571429,54,80.6,12,17.91
Колпашевская,351,184,121,121,4,65.760869565217,95,78.51,22,18.18
Колпашевская,352,172,66,66,1,38.372093023256,55,83.33,10,15.15
Колпашевская,353,134,60,60,0,44.776119402985,48,80,12,20
Колпашевская,354,445,305,305,7,68.539325842697,212,69.51,86,28.2
Колпашевская,355,127,90,90,0,70.866141732283,73,81.11,17,18.89
Колпашевская,356,53,13,13,0,24.528301886792,11,84.62,2,15.38
Колпашевская,357,257,157,157,3,61.089494163424,112,71.34,42,26.75
Колпашевская,773,67,67,67,0,100.000000000000,60,89.55,7,10.45
Кривошеинская,518,670,293,293,5,43.731343283582,194,66.21,94,32.08
Кривошеинская,519,330,138,138,5,41.818181818182,85,61.59,48,34.78
Кривошеинская,520,143,57,57,0,39.860139860140,49,85.96,8,14.04
Кривошеинская,521,420,182,182,4,43.333333333333,135,74.18,43,23.63
Кривошеинская,522,257,125,125,0,48.638132295720,108,86.4,17,13.6
Кривошеинская,523,414,238,238,4,57.487922705314,133,55.88,101,42.44
Кривошеинская,524,765,389,389,2,50.849673202614,297,76.35,90,23.14
Кривошеинская,525,398,225,225,0,56.532663316583,171,76,54,24
Кривошеинская,526,739,325,325,1,43.978349120433,231,71.08,93,28.62
Кривошеинская,527,68,46,46,2,67.647058823529,43,93.48,1,2.17
Кривошеинская,528,321,167,167,1,52.024922118380,135,80.84,31,18.56
Кривошеинская,529,149,87,87,0,58.389261744966,71,81.61,16,18.39
Кривошеинская,530,211,105,105,0,49.763033175355,84,80,21,20
Кривошеинская,531,197,88,88,1,44.670050761421,68,77.27,19,21.59
Кривошеинская,532,56,28,28,0,50.000000000000,21,75,7,25
Кривошеинская,533,332,166,166,2,50.000000000000,128,77.11,36,21.69
Кривошеинская,534,627,284,284,4,45.295055821372,171,60.21,109,38.38
Кривошеинская,535,544,233,233,3,42.830882352941,185,79.4,45,19.31
Кривошеинская,536,572,277,277,0,48.426573426573,203,73.29,74,26.71
Кривошеинская,537,598,233,233,2,38.963210702341,168,72.1,63,27.04
Кривошеинская,538,190,115,115,0,60.526315789474,103,89.57,12,10.43
Кривошеинская,539,122,72,72,0,59.016393442623,66,91.67,6,8.33
Кривошеинская,540,236,99,99,0,41.949152542373,69,69.7,30,30.3
Кривошеинская,541,850,379,379,3,44.588235294118,246,64.91,130,34.3
Кривошеинская,542,697,351,351,1,50.358680057389,227,64.67,123,35.04
Кривошеинская,543,654,279,279,3,42.660550458716,191,68.46,85,30.47
Молчановская,544,116,42,42,0,36.206896551724,30,71.43,12,28.57
Молчановская,545,410,182,182,1,44.390243902439,131,71.98,50,27.47
Молчановская,546,508,191,191,2,37.598425196850,133,69.63,56,29.32
Молчановская,547,720,288,288,1,40.000000000000,208,72.22,79,27.43
Молчановская,548,776,410,410,2,52.835051546392,258,62.93,150,36.59
Молчановская,549,698,278,278,1,39.828080229226,188,67.63,89,32.01
Молчановская,550,651,332,332,0,50.998463901690,212,63.86,120,36.14
Молчановская,551,670,267,267,4,39.850746268657,181,67.79,82,30.71
Молчановская,552,665,246,246,1,36.992481203008,160,65.04,85,34.55
Молчановская,553,632,292,292,6,46.202531645570,210,71.92,76,26.03
Молчановская,554,54,31,31,0,57.407407407407,25,80.65,6,19.35
Молчановская,555,96,60,60,0,62.500000000000,52,86.67,8,13.33
Молчановская,556,243,156,156,2,64.197530864198,125,80.13,29,18.59
Молчановская,557,109,66,66,4,60.550458715596,57,86.36,5,7.58
Молчановская,558,134,74,74,1,55.223880597015,67,90.54,6,8.11
Молчановская,559,182,91,91,1,50.000000000000,68,74.73,22,24.18
Молчановская,560,117,67,67,0,57.264957264957,43,64.18,24,35.82
Молчановская,561,323,183,183,1,56.656346749226,133,72.68,49,26.78
Молчановская,562,68,42,42,0,61.764705882353,39,92.86,3,7.14
Молчановская,563,359,164,164,0,45.682451253482,132,80.49,32,19.51
Молчановская,564,442,262,262,4,59.276018099548,207,79.01,51,19.47
Молчановская,565,610,234,234,6,38.360655737705,152,64.96,76,32.48
Молчановская,566,453,134,134,0,29.580573951435,99,73.88,35,26.12
Молчановская,567,544,200,200,9,36.764705882353,160,80,31,15.5
Молчановская,568,544,212,212,7,38.970588235294,152,71.7,53,25
Молчановская,569,443,172,172,2,38.826185101580,141,81.98,29,16.86
Парабельская,571,323,185,185,6,57.275541795666,138,74.59,41,22.16
Парабельская,572,888,393,393,1,44.256756756757,237,60.31,155,39.44
